name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,year,month,breach_type_hacking_it_incident,breach_type_improper_disposal,breach_type_loss,breach_type_other,breach_type_theft,breach_type_unauthorized_access_disclosure,breach_type_unknown,primary_breach_type,location_desktop_computer,location_electronic_medical_record,location_email,location_laptop,location_network_server,location_other,location_other_portable_electronic_device,location_paper_films,primary_location,is_mega_breach,breach_size_tier,log_individuals_affected,quarter,days_since_epoch,ba_present,entity_business_associate,entity_health_plan,entity_healthcare_clearing_house,entity_healthcare_provider,region,breach_type_gap,location_gap
Dickinson County Health Department,KS,Healthcare Provider,1063,2024-01-17,Unauthorized Access/Disclosure,Desktop Computer,No,,2024,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,True,False,False,False,False,False,False,False,Desktop Computer,0,Small,6.96979066990159,1,4025,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Physical/Technical Safeguard Failure
"CR Pharmacy Services, Inc. d/b/a CarePro",IA,Healthcare Provider,151499,2024-01-15,Hacking/IT Incident,Network Server,No,"The covered entity and business associate (CE/BA), C.R. Pharmacy Services dba CarePro, reported that it experienced a cyber-attack that affected the protected health information (PHI) of 151,499 individuals. The PHI involved included names, addresses, dates of birth, drivers’  license and social security numbers, claims and financial information, diagnoses, conditions, lab results, and medications. The CE/BA notified HHS, the affected individuals, and the media. In its mitigation efforts, the CE/BA provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,11.928340903931561,1,4023,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
"Colorado Ophthalmology Associates, PC",CO,Healthcare Provider,6020,2024-01-13,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Colorado Ophthalmology Associates, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 6,020 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, medications, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect PHI.  ",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.703008637464448,1,4021,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"HORNE, LLP",MS,Business Associate,170052,2024-01-13,Hacking/IT Incident,Network Server,Yes,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,12.043865432149763,1,4021,1,True,False,False,False,South,Technical Safeguard Failure,Technical Safeguard Failure
Azura Vascular Care,PA,Business Associate,348000,2024-01-13,Hacking/IT Incident,Network Server,Yes,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,12.759960632315702,1,4021,1,True,False,False,False,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
Lester and Rosalie Anixter Center,IL,Healthcare Provider,6194,2024-01-12,Hacking/IT Incident,Email,No,"The covered entity (CE), Lester and Rosalie Anixter Center, reported that multiple employee were the subjects of an email phishing scheme that affected the protected health information (PHI) of 6,194 individuals. The PHI involved included names, Social Security and drivers’ license numbers, addresses, dates of birth, financial and claims information, diagnoses, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards. Staff were retrained on email security.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,8.731497794063243,1,4020,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Pacific Cataract and Laser Institute, Inc., P.C.",WA,Healthcare Provider,9967,2024-01-12,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Pacific Cataract and Laser Institute, reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 9,967 individuals. The PHI involved included names, drivers’ license numbers, dates of birth, diagnoses, lab results, and claims information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,9.207135241027235,1,4020,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"Covenant Care California, LLC ",CA,Healthcare Provider,501,2024-01-12,Hacking/IT Incident,Network Server,No,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.218600119691729,1,4020,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"Summit Medical Group, PLLC",TN,Healthcare Provider,4135,2024-01-12,Hacking/IT Incident,Email,No,"The covered entity (CE), Summit Medical Group, reported that an employee was the subject of an email phishing scheme that compromised the protected health information (PHI) of 4,135 individuals. The PHI involved included names, patient identification numbers, birthdates, and health insurance and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE sanctioned the workforce member involved and implemented additional administrative, technical, and security safeguards. Staff were retrained on email security precautions.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,8.327484416188264,1,4020,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Air Methods, LLC",NV,Healthcare Provider,34063,2024-01-12,Theft,Laptop,No,"The covered entity (CE), Air Methods, reported that a laptop computer containing the protected health information (PHI) of 34,063 individuals was stolen from during a burglary. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, medications, and claims and treatment information, The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect PHI.",2024,1,False,False,False,False,True,False,False,Theft,False,False,False,True,False,False,False,False,Laptop,0,Medium,10.43599638713326,1,4020,0,False,False,False,True,West,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
Family Healthcare Center,ND,Healthcare Provider,6457,2024-01-11,Hacking/IT Incident,Network Server,Yes,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.77307495131822,1,4019,1,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Hampton-Newport News Community Services Board,VA,Healthcare Provider,44312,2024-01-11,Hacking/IT Incident,Network Server,No,"Hampton-Newport News Community Services Board, the covered entity (CE), reported that it was the victim of a cyber-attack that affected the protected health information (PHI) of 44,312 individuals. The PHI involved included names, addresses, dates of birth, social security and drivers’ license numbers, claims information, diagnoses/conditions, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative, technical, and security safeguards.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,10.69903336670871,1,4019,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
InHealth Technologies,CA,Healthcare Provider,12143,2024-01-09,Hacking/IT Incident,Network Server,No,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.404590499635411,1,4017,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Burr & Forman LLP,AL,Business Associate,19893,2024-01-09,Hacking/IT Incident,Network Server,Yes,"The business associate (BA),  Burr & Forman, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 19,893 individuals. The PHI involved included names, dates of birth, Social Security numbers), claims and financial information, and treatment information. The BA notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the BA offered complimentary credit monitoring and identity protection services and implemented additional technical safeguards.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.898173457712359,1,4017,1,True,False,False,False,South,Technical Safeguard Failure,Technical Safeguard Failure
Coastal Plains Community Mental Health Mental Retardation Center,TX,Healthcare Provider,45357,2024-01-09,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Coastal Plains Community Mental Health and Mental Retardation Center, reported that it experienced a ransomware incident that affected the electronic protected health information (ePHI) of 45,357 individuals. The ePHI involved included names, addresses, dates of birth, social security numbers, financial information, diagnoses, conditions, lab results, medications, and other treatment information. The CE notified HHS, the affected individuals and the media. In response to the breach, the CE implemented additional system monitoring safeguards and revised policies and procedures.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,10.722341845718807,1,4017,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
"Concentra Health Services, Inc.",TX,Healthcare Provider,3998163,2024-01-09,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Concentra Health Services, reported that its business associate (BA) experienced a hacking incident that affected the protected health information (PHI) of 3,998,163 individuals. The PHI involved included names, addresses, social security numbers, and medical and claims information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE provided free credit monitoring and the CE and BA implemented security measure to protect PHI.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,1,Mega,15.20134581371142,1,4017,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
"Psychological Holdings, PLLC d/b/a Senior PsychCare",TX,Healthcare Provider,75349,2024-01-08,Hacking/IT Incident,Network Server,No,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.229899204054641,1,4016,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Sharp Health Plan,CA,Health Plan,8200,2024-01-08,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), Sharp Health Plan, reported that an employee of its business associate (BA) inadvertently mailed the protected health information (PHI) of  approximately 8,200 individuals to the wrong recipients. The PHI involved included names, addresses, and treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE and BA strengthened its administrative and technical safeguards. OCR provided technical assistance regarding the HIPAA Rules.",2024,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,9.012011377036412,1,4016,1,False,True,False,False,West,Administrative Safeguard Failure,Physical Safeguard Failure
Sharp Health Plan,CA,Health Plan,9255,2024-01-08,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Sharp Health Plan, reported that its business associate (BA) experienced a cyber-attack that affected the protected health information (PHI) of 9,255 individuals. The PHI involved included names, dates of birth, Social Security numbers, health insurance information, claims and financial information, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the BA implemented new administrative and technical safeguards.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,9.133027268873512,1,4016,1,False,True,False,False,West,Technical Safeguard Failure,Technical Safeguard Failure
Catholic Heath Initiative Trinity Medical Center,OH,Healthcare Provider,797,2024-01-08,Hacking/IT Incident,Network Server,Yes,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.682108597449809,1,4016,1,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Dignity Health Nevada St. Rose Dominican Hospital ,NV,Healthcare Provider,2652,2024-01-08,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Dignity Health Nevada St. Rose Dominican Hospital, reported that its business associate experienced a cybersecurity attack that compromised the protected health information (PHI) of approximately 2,652 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license numbers, and diagnoses. The CE notified HHS, the affected individuals, the media, and provided substitute notice. OCR has initiated a compliance review of the business associate regarding this breach.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.88344635413774,1,4016,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
The Harris Center for Mental Health and IDD,TX,Healthcare Provider,545001,2024-01-05,Hacking/IT Incident,Network Server,No,"The covered entity (CE), The Harris Center for Mental Health and IDD, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 545,001 individuals. The PHI involved included names, Social Security numbers, addresses, drivers’ license numbers, dates of birth, claims and financial information, diagnoses, medications, phone numbers, email addresses, health insurance information, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,13.208544743363419,1,4013,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Daleville Dental II LLC,AL,Healthcare Provider,5280,2024-01-05,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Daleville Dental, reported that it experienced a breach incident that affected the protected health information (PHI) of 5,280 individuals. The PHI involved included names, other identifiers, medications, and treatment information. The CE notified HHS and affected individuals. In response to the breach, the CE issued media, substitute, and individual notices; implemented additional administrative, technical, and security safeguards.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.571870752706934,1,4013,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Veterans Health Administration,DC,Healthcare Provider,2380,2024-01-05,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), Veterans Health Administration, reported that its business associate (BA) mailed appointment reminder letters containing the protected health information (PHI) of 2,380 individuals to the wrong recipients. The PHI involved included names, addresses, and appointment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE and BA implemented additional administrative safeguards to protect PHI.",2024,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,7.7752758464868625,1,4013,0,False,False,False,True,South,Administrative Safeguard Failure,Physical Safeguard Failure
Tampa Bay Surgical Group   ,FL,Healthcare Provider,1107,2024-01-05,Loss,Other Portable Electronic Device,No,"Tampa Bay Surgical Group, the covered entity (CE), reported that an flash drive that contained the protected health information (PHI) of 1,107 individuals was lost in transit.  The PHI involved included names, addresses, phone numbers, dates of birth, Social Security numbers, and health insurance and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff were retrained to protect and secure PHI.",2024,1,False,False,True,False,False,False,False,Loss,False,False,False,False,False,False,True,False,Other Portable Electronic Device,0,Small,7.010311867307229,1,4013,0,False,False,False,True,South,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
"Cooper Clinic, P.A. ",TX,Healthcare Provider,124341,2024-01-05,Hacking/IT Incident,Network Server,No,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,11.73079111262239,1,4013,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
"Fincantieri Marine Group, LLC",DC,Health Plan,11535,2024-01-05,Hacking/IT Incident,Network Server,No,"Fincantieri Marine Group, the covered entity (CE), reported that it experienced a cyber-attack that impacted the availability and function of the CE’s network environment and compromised the protected health information (PHI) of 11,535 individuals. The PHI involved included names, dates of birth, Social Security numbers, addresses, claims and financial information, and other identifiers. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE began migration of certain services and systems to a secure cloud environment and deployed other technical security measures to enhance security.

",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.353227859524731,1,4013,0,False,True,False,False,South,Technical Safeguard Failure,Technical Safeguard Failure
"ConsensioHealth, LLC",WI,Business Associate,60871,2024-01-04,Hacking/IT Incident,Network Server,Yes,,2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.01652857785636,1,4012,1,True,False,False,False,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Morgan Stanley Health Benefits and Insurance Plan,NY,Health Plan,2442,2024-01-04,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Morgan Stanley Health Benefits and Insurance Plan, reported that a software application used by its business associate (BA) exposed the protected health information (PHI) of 2,442 individuals. The PHI involved included names, addresses, Social Security numbers, diagnoses, lab results, medications, and other treatment information. The CE notified HHS and the affected individuals. In response to the breach, the CE provided complimentary credit monitoring services and the CE and BA implemented additional administrative, technical, and security safeguards to better protect its PHI.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.8009820712577405,1,4012,1,False,True,False,False,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
Northern Inyo Healthcare District,CA,Healthcare Provider,1305,2024-01-03,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Northern Inyo Healthcare District, reported that its business associate (BA) experienced a ransomware incident that affected the protected health information (PHI) of 1,305 individuals. The PHI involved included names, dates of birth, addresses, drivers’ license and Social Security numbers, diagnoses, claims and financial information, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the BA implemented additional administrative and new technical safeguards.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.174724309836376,1,4011,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
North Kansas City Hospital,MO,Healthcare Provider,502438,2024-01-03,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), North Kansas City Hospital, reported that its business associate (BA) experienced a cyber-attack that affected the protected health information (PHI) of 502,438 individuals. The PHI involved included names, dates of birth, addresses, claims information, diagnoses, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE terminated its business relationship with the BA and implemented additional administrative safeguards to better protect PHI. ",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,13.127229518511811,1,4011,1,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
"Amerigroup Iowa, Inc",IN,Business Associate,1023,2024-01-03,Unauthorized Access/Disclosure,Network Server,Yes,"The business associate (BA), Amerigroup Iowa, Inc., reported that an employee mailed the protected health information (PHI) of 1,023 individuals to the wrong recipients. The PHI involved included names, dates of birth, health insurance information, claims information, and diagnoses and procedures codes. The BA notified HHS, the covered entity, and the affected individuals. In response to the breach, the BA implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect PHI.",2024,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Small,6.931471805599453,1,4011,1,True,False,False,False,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
Midwest Long Term Care Services DBA Senior Scripts,MO,Healthcare Provider,10566,2024-01-02,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Midwest Long Term Care Services dba Senior Scripts, reported that it experienced a hacking incident that compromised the protected health information (PHI) of 10,566 individuals. The PHI involved included names, addresses, dates of birth, social security numbers, health insurance information, and medication information. The CE notified HHS, the affected individuals, and the media. In its mitigation efforts, the CE provided complimentary credit monitoring and identity protection services and implemented additional administrative, technical, and security safeguards. OCR provided technical assistance to the CE.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.265491216441031,1,4010,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Community Tri-County Healthcare,AL,Healthcare Provider,5809,2024-01-02,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Community Tri-County Healthcare, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 5,809 individuals. The PHI involved included names, addresses, dates of birth, medications, and health insurance information. The CE notified HHS, affected individuals, the media and posted substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.667335849845957,1,4010,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Keystone First,PA,Health Plan,1965,2024-01-02,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Keystone First, reported that a software application used by its business associate (BA) exposed the protected health information (PHI) of 1,965 individuals. The PHI involved included names, dates of birth, health insurance information, and other treatment information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE provided complimentary credit monitoring services and the CE and BA implemented additional administrative, technical, and security safeguards to better protect its PHI.",2024,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.583756300707112,1,4010,1,False,True,False,False,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
"Transformative Healthcare, on behalf of Fallon Ambulance Services",MA,Healthcare Provider,911757,2023-12-31,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,"Fallon Ambulance Services (Fallon), a former subsidiary of Transformative Healthcare, the covered entity (CE), reported that it experienced a ransomware attack that compromised the protected health information (PHI) of 911,757 individuals. The PHI involved included names, addresses, birthdates, drivers’ license and Social Security numbers, diagnoses, lab results, medications, and claims and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE provided complimentary identity protection services to affected individuals. Fallon ceased medical transportation operations; therefore, OCR closed the case.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,True,False,False,True,False,False,False,Electronic Medical Record,0,Large,13.723129882967502,4,4008,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
"HMG Healthcare, LLC",TX,Healthcare Provider,80000,2023-12-29,Hacking/IT Incident,Network Server,No,"The covered entity (CE), HMG Healthcare, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 80,000 individuals. The PHI involved included names, dates of birth, Social Security  and drivers’ license numbers, addresses, claims and financial information, diagnoses, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.289794413577894,4,4006,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
EDI Health Group dba DentalXChange,CA,Healthcare Clearing House,2574,2023-12-29,Hacking/IT Incident,Network Server,No,"EDI Health Group dba DentalXChange, the covered entity (CE), reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 2,574 individuals. The PHI included names, dates of birth, addresses, claims information, diagnoses, and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect its PHI. OCR provided technical assistance regarding the HIPAA Rules.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.853604813097837,4,4006,0,False,False,True,False,West,Technical Safeguard Failure,Technical Safeguard Failure
"Electrostim Medical Services, Inc. d/b/A EMSI",FL,Healthcare Provider,542990,2023-12-28,Hacking/IT Incident,Network Server,No,,2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,13.204848024193078,4,4005,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Medical Center Barbour,AL,Healthcare Provider,61014,2023-12-27,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Medical Center Barbour, detected ransomware in its network environment that compromised the affected the protected health information (PHI) of 61,014 individuals. The PHI involved includes names, addresses, dates of birth, drivers’ license and Social Security numbers, diagnoses and conditions, lab results, financial information, and medications. The CE provided breach notification to the affected individuals, the media, the HHS Secretary, and posted substitute breach notice on its website. In response to the breach, the CE reset all passwords and implemented a series of improved technical safeguards.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.018875014565939,4,4004,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Fred Hutchinson Cancer Center,WA,Healthcare Provider,20192,2023-12-26,Loss,Laptop,No,"The covered entity (CE), Fred Hutchinson Cancer Center, reported that a laptop containing the protected health information (PHI) of 20,192 individuals was lost or stolen from an employee during travel. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, medications, lab results, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff were retrained.",2023,12,False,False,True,False,False,False,False,Loss,False,False,False,True,False,False,False,False,Laptop,0,Medium,9.913091288678823,4,4003,0,False,False,False,True,West,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
Lake County Health Department and Community Health Center,IL,Healthcare Provider,5000,2023-12-26,Hacking/IT Incident,Email,No,"The covered entity (CE), Lake County Health Department and Community Health Center, reported that an employee was the subject of an email phishing attack that affected the protected health information (PHI) of 5,000 individuals. The PHI involved included names, addresses, dates of birth, phone numbers, email addresses, and diagnoses and conditions. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE implemented additional administrative, technical, and security safeguards and increased staff training.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,8.517393171418904,4,4003,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Meridian Behavioral Healthcare, Inc.",FL,Healthcare Provider,98808,2023-12-22,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Meridian Behavioral Healthcare, reported that it experienced a ransomware attack that compromised the protected health information (PHI) of 98,808 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, medications, diagnoses, and additional treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. To mitigate harm to affected individuals, the CE offered complimentary credit monitoring and identity protection services and implemented additional administrative, technical, and security safeguards.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.500943972704642,4,3999,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
"Mountain Dermatology Specialists, PC",CO,Healthcare Provider,2705,2023-12-22,Hacking/IT Incident,Email,No,"Mountain Dermatology Specialists, the covered entity (CE), reported that it experienced a hacking attack that affected the protected health information (PHI) of 2,705 patients. The PHI involved included names, addresses, dates of birth, drivers’ license and Social Security numbers, financial information, diagnoses, conditions, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE updated policies and procedures and implemented additional administrative, technical, and security safeguards.
",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,7.903226808730733,4,3999,0,False,False,False,True,West,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC",FL,Healthcare Provider,31189,2023-12-22,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Eye Physicians of Central Florida, reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 31,189 individuals. The PHI involved included names, addresses, dates of birth, diagnoses/conditions, lab results, medications, financial, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,10.347852809601848,4,3999,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
